netID,score
colluder,0.5820503086419689
colluder,0.587194984567895
colluder,0.5858310956790066
colluder,0.5805997685185124
colluder,0.5911861882715987
colluder,0.5877307870370311
colluder,0.584296373456784
colluder,0.5868749999999938
colluder,0.5865494598765364
colluder,0.5873855709876484
colluder,0.5838166666666603
colluder,0.5836371141975247
colluder,0.5838656635802405
colluder,0.584586651234562
colluder,0.5830601851851791
colluder,0.585185956790117
colluder,0.5865046296296229
colluder,0.5855870370370306
colluder,0.5858000771604877
colluder,0.5841642746913521
colluder,0.5832329475308579
colluder,0.5863350308641911
colluder,0.5849432870370307
colluder,0.5881924382715986
colluder,0.5878361111111058
colluder,0.5875650462962895
colluder,0.5879442901234502
colluder,0.5858226080246851
colluder,0.5835376543209807
colluder,0.5855550925925866
colluder,0.5832118827160426
colluder,0.585023148148142
colluder,0.5868584104938209
colluder,0.5824179783950558
colluder,0.5854709876543146
colluder,0.5893539351851788
colluder,0.5889345679012286
colluder,0.5858063271604882
colluder,0.5851707561728329
colluder,0.5867022376543157
colluder,0.5849431327160431
colluder,0.5856561728395
colluder,0.5877406635802407
colluder,0.5841418209876486
colluder,0.5870855709876481
colluder,0.5848956790123397
colluder,0.5848138117283891
colluder,0.587660648148142
colluder,0.5840479166666599
colluder,0.5856671296296229
colluder,0.5851931327160439
colluder,0.5842727623456732
colluder,0.586365740740734
colluder,0.5844115740740679
colluder,0.5853938271604879
colluder,0.5877909722222165
colluder,0.5825314814814749
colluder,0.5830195987654256
colluder,0.581007870370364
colluder,0.5835136574074011
colluder,0.5871453703703642
colluder,0.5834768518518463
colluder,0.5858523919753026
colluder,0.5825793981481424
colluder,0.58520254629629
colluder,0.5856164351851795
colluder,0.5860810185185117
colluder,0.5852645833333268
colluder,0.5828219907407347
colluder,0.5863519290123395
colluder,0.5817261574074013
colluder,0.5892935956790063
copier,0.5398115740740778
faker,0.5879573302469083
feeder,0.31061820987654326
gambler,0.5898951388888845
greedy,0.04185509259259298
nash,0.5770987654320987
safe,0.23235007716049386
spnash,0.08939544753086417
versus,0.04949421296296301
